Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-10-21,30291.17969,31119.26953,30206.2793,31082.56055,31082.56055,418190000,2284
2022-10-24,31187.32031,31603.63086,31161.41016,31499.61914,31499.61914,345040000,2285
2022-10-25,31463.65039,31876.15039,31423.5293,31836.74023,31836.74023,336930000,2286
2022-10-26,31738.43945,32172.41992,31738.43945,31839.10938,31839.10938,430400000,2287
2022-10-27,32062.14063,32388.41992,31993.21094,32033.2793,32033.2793,375720000,2288
2022-10-28,32204.31055,32889.80859,32158.38086,32861.80078,32861.80078,495830000,2289
2022-10-31,32754.26953,32883.85938,32586.92969,32732.94922,32732.94922,390890000,2290
2022-11-01,32862.78906,32975.48047,32485.23047,32653.19922,32653.19922,323210000,2291
2022-11-02,32576.2793,33071.92969,32139.76953,32147.75977,32147.75977,398430000,2292
2022-11-03,31985.05078,32185.71094,31727.05078,32001.25,32001.25,354440000,2293
2022-11-04,32265.00977,32611.51953,31938.91992,32403.2207,32403.2207,422370000,2294
2022-11-07,32454.09961,32895.58984,32424.99023,32827,32827,336300000,2295
2022-11-08,32934.55859,33355.39063,32831.46094,33160.82813,33160.82813,335340000,2296
2022-11-09,33004.46875,33065.10938,32478.86914,32513.93945,32513.93945,355200000,2297
2022-11-10,33263.91016,33727.73047,33167.82031,33715.37109,33715.37109,480130000,2298
2022-11-11,33797.75,33817.96094,33394.42969,33747.85938,33747.85938,427790000,2299
2022-11-14,33662.05078,33964.30078,33533.96094,33536.69922,33536.69922,354340000,2300
2022-11-15,33755.94141,33987.05859,33320.19922,33592.92188,33592.92188,390610000,2301
2022-11-16,33554.92969,33682.82813,33516.98828,33553.82813,33553.82813,301560000,2302
2022-11-17,33329.26953,33616.01953,33239.75,33546.32031,33546.32031,319210000,2303
2022-11-18,33606.58984,33827.94141,33540.64063,33745.69141,33745.69141,312950000,2304
2022-11-21,33760.30078,33864.58984,33559.17969,33700.28125,33700.28125,352960000,2305
2022-11-22,33810.05078,34115.69922,33810.05078,34098.10156,34098.10156,277070000,2306
2022-11-23,34091.57031,34262.07031,34004.64063,34194.05859,34194.05859,236820000,2307
2022-11-25,34213.03906,34386.51172,34199.57031,34347.03125,34347.03125,131660000,2308
2022-11-28,34275.91016,34303.87891,33799.35156,33849.46094,33849.46094,300330000,2309
2022-11-29,33847.80078,33933.91016,33662.44922,33852.53125,33852.53125,279750000,2310
2022-11-30,33795.42969,34589.76953,33583.76953,34589.76953,34589.76953,524440000,2311
2022-12-01,34533.58984,34595.51172,34129.35156,34395.01172,34395.01172,348720000,2312
2022-12-02,34265.44922,34483.21094,34039.73047,34429.87891,34429.87891,290580000,2313
2022-12-05,34335.73047,34335.73047,33846.80859,33947.10156,33947.10156,312960000,2314
2022-12-06,33936.87109,34006.62891,33418.58984,33596.33984,33596.33984,306220000,2315
2022-12-07,33556.39844,33774.26953,33503.67188,33597.92188,33597.92188,359980000,2316
